site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
GUAT 00OCT05 2000.7611 51822 1082 4  -90.5  -2174 -0.780745   1613669  0.136176  1519  0.861226  0.0000 0.001000 0.000849 0.003915  0.020423 -0.129741 -0.006074  14.5904040172  -90.5201831602  1519.86123
GUAT 00OCT06 2000.7639 51823 1082 5  -90.5  -2174 -0.779452   1613669  0.139759  1519  0.864475  0.0000 0.001010 0.000846 0.003838  0.024985 -0.072194 -0.084736  14.5904040495  -90.5201831484  1519.86448
GUAT 00OCT07 2000.7666 51824 1082 6  -90.5  -2174 -0.778409   1613669  0.136421  1519  0.850058  0.0000 0.001002 0.000841 0.003897  0.024498 -0.105641 -0.044300  14.5904040193  -90.5201831389  1519.85006
GUAT 00OCT08 2000.7693 51825 1083 0  -90.5  -2174 -0.778144   1613669  0.136774  1519  0.857046  0.0000 0.000961 0.000792 0.003629  0.066678 -0.057511 -0.029750  14.5904040224  -90.5201831366  1519.85705
GUAT 00OCT09 2000.7721 51826 1083 1  -90.5  -2174 -0.777628   1613669  0.137241  1519  0.848973  0.0000 0.000965 0.000813 0.003710  0.039765 -0.000306 -0.016598  14.5904040266  -90.5201831320  1519.84897
GUAT 00OCT10 2000.7748 51827 1083 2  -90.5  -2174 -0.778457   1613669  0.136276  1519  0.856168  0.0000 0.000956 0.000795 0.003609  0.077229 -0.089744 -0.039144  14.5904040179  -90.5201831398  1519.85617
GUAT 00OCT11 2000.7775 51828 1083 3  -90.5  -2174 -0.778895   1613669  0.134362  1519  0.852726  0.0000 0.000984 0.000844 0.003793  0.058118 -0.044051  0.004131  14.5904040005  -90.5201831440  1519.85273
GUAT 00OCT12 2000.7803 51829 1083 4  -90.5  -2174 -0.774794   1613669  0.137385  1519  0.850461  0.0000 0.001078 0.000882 0.004151  0.039298 -0.108794 -0.068491  14.5904040278  -90.5201831061  1519.85046
GUAT 00OCT13 2000.7830 51830 1083 5  -90.5  -2174 -0.777787   1613669  0.139118  1519  0.862899  0.0000 0.001046 0.000884 0.004010  0.030870 -0.095332  0.002199  14.5904040434  -90.5201831341  1519.86290
GUAT 00OCT14 2000.7858 51831 1083 6  -90.5  -2174 -0.781556   1613669  0.133598  1519  0.859885  0.0000 0.000965 0.000785 0.003671  0.017192 -0.081615 -0.088726  14.5904039935  -90.5201831692  1519.85988
GUAT 00OCT15 2000.7885 51832 1084 0  -90.5  -2174 -0.783186   1613669  0.132047  1519  0.854184  0.0000 0.000961 0.000776 0.003539  0.055889 -0.080666 -0.068887  14.5904039794  -90.5201831845  1519.85418
GUAT 00OCT16 2000.7912 51833 1084 1  -90.5  -2174 -0.779366   1613669  0.138291  1519  0.863465  0.0000 0.000978 0.000845 0.003807  0.025024 -0.070319 -0.009820  14.5904040358  -90.5201831492  1519.86346
GUAT 00OCT17 2000.7940 51834 1084 2  -90.5  -2174 -0.780211   1613669  0.136685  1519  0.857828  0.0000 0.001001 0.000851 0.003859  0.091857 -0.086872 -0.050994  14.5904040213  -90.5201831572  1519.85783
GUAT 00OCT18 2000.7967 51835 1084 3  -90.5  -2174 -0.779426   1613669  0.139032  1519  0.856631  0.0000 0.000963 0.000804 0.003597  0.078612 -0.029996 -0.058332  14.5904040424  -90.5201831501  1519.85663
GUAT 00OCT19 2000.7995 51836 1084 4  -90.5  -2174 -0.780764   1613669  0.138067  1519  0.853883  0.0000 0.001020 0.000830 0.003781  0.007773 -0.035840 -0.038493  14.5904040337  -90.5201831627  1519.85388
GUAT 00OCT20 2000.8022 51837 1084 5  -90.5  -2174 -0.778294   1613669  0.142187  1519  0.859702  0.0000 0.000977 0.000794 0.003560  0.007626 -0.030226 -0.024284  14.5904040709  -90.5201831399  1519.85970
GUAT 00OCT21 2000.8049 51838 1084 6  -90.5  -2174 -0.780052   1613669  0.137694  1519  0.852292  0.0000 0.001017 0.000848 0.003730  0.043388 -0.032373  0.044742  14.5904040302  -90.5201831564  1519.85229
GUAT 00OCT22 2000.8077 51839 1085 0  -90.5  -2174 -0.776766   1613669  0.139028  1519  0.862800  0.0000 0.000979 0.000826 0.003689  0.058510 -0.056770  0.000915  14.5904040422  -90.5201831260  1519.86280
GUAT 00OCT23 2000.8104 51840 1085 1  -90.5  -2174 -0.778210   1613669  0.134848  1519  0.850926  0.0000 0.000955 0.000813 0.003557  0.031356 -0.005686  0.006104  14.5904040044  -90.5201831396  1519.85093
GUAT 00OCT24 2000.8131 51841 1085 2  -90.5  -2174 -0.780912   1613669  0.136477  1519  0.863345  0.0000 0.001039 0.000849 0.003892  0.047173 -0.116871  0.028187  14.5904040191  -90.5201831648  1519.86334
GUAT 00OCT25 2000.8159 51842 1085 3  -90.5  -2174 -0.777946   1613669  0.137137  1519  0.860650  0.0000 0.000994 0.000808 0.003592 -0.015607 -0.054603  0.009929  14.5904040250  -90.5201831375  1519.86065
GUAT 00OCT26 2000.8186 51843 1085 4  -90.5  -2174 -0.775073   1613669  0.136171  1519  0.850066  0.0000 0.000995 0.000806 0.003690  0.034624 -0.093996 -0.020874  14.5904040162  -90.5201831110  1519.85007
GUAT 00OCT27 2000.8214 51844 1085 5  -90.5  -2174 -0.784607   1613669  0.134898  1519  0.865951  0.0000 0.001058 0.000847 0.003833  0.066923 -0.107131 -0.050459  14.5904040047  -90.5201831996  1519.86595
